config_id,group,sync_mode,environment,guest,socket_timeout_s,render_hz,isaac_camera,firesim_step,bitstream,per_grant_ms,effective_MHz,ticks_per_s,speedup_vs_baseline,source,notes
ceiling_free_running,silicon,free,PatternEnv-v0,bench:spin,n/a,n/a,no,continuous,MMIO-Saturn-60MHz,0.0,59.9,,,measured-prior,FMR 1.0 = 60 MHz host clock; no per-grant barrier (minimal_sync continuous grant). THROUGHPUT CEILING.
gran_1M_oldsock,silicon,barrier,PatternEnv-v0,bench:spin,0.1,n/a,no,1000000,MMIO-Saturn-60MHz,123.0,7.2,7.16,0.29,computed(FPGA-run-later),model wall=13.8+828x0.123 s; DEFERRED FPGA (busy w/ capstone flight).
gran_5M_oldsock,silicon,barrier,PatternEnv-v0,bench:spin,0.1,n/a,no,5000000,MMIO-Saturn-60MHz,123.0,24.6,4.846,1.0,measured-prior,"recon_sweep.csv @5M (165 grants, 33.7 s). BASELINE granularity."
gran_10M_oldsock,silicon,barrier,PatternEnv-v0,bench:spin,0.1,n/a,no,10000000,MMIO-Saturn-60MHz,123.0,34.3,3.452,1.39,measured-prior,"recon_sweep.csv @10M (82 grants, 24.1 s)."
gran_50M_oldsock,silicon,barrier,PatternEnv-v0,bench:spin,0.1,n/a,no,50000000,MMIO-Saturn-60MHz,123.0,52.3,1.046,2.13,computed(FPGA-run-later),model wall=13.8+17x0.123 s; DEFERRED FPGA (busy w/ capstone flight).
gran_100M_oldsock,silicon,barrier,PatternEnv-v0,bench:spin,0.1,n/a,no,100000000,MMIO-Saturn-60MHz,123.0,55.9,0.559,2.27,computed(FPGA-run-later),model wall=13.8+8x0.123 s; DEFERRED FPGA (busy w/ capstone flight).
gran_500M_oldsock,silicon,barrier,PatternEnv-v0,bench:spin,0.1,n/a,no,500000000,MMIO-Saturn-60MHz,123.0,59.1,0.118,2.4,computed(FPGA-run-later),model wall=13.8+2x0.123 s; DEFERRED FPGA (busy w/ capstone flight).
gran_5M_newsock_mmio,silicon,barrier,PatternEnv-v0,bench:spin,0.001,n/a,no,5000000,MMIO-Saturn-60MHz,24.0,46.6,9.316,1.89,computed(FPGA-run-later),socket fix send 105->6 ms (spike-proven) + 18 ms FPGA freeze floor => ~24 ms/grant. DEFERRED FPGA.
gran_5M_newsock_dma,silicon,barrier,PatternEnv-v0,bench:spin,0.001,n/a,no,5000000,DMA-Saturn (30MHz built / 60MHz building),24.0,46.6,9.316,1.89,computed(FPGA-run-later),DMA control-plane == MMIO on the num_bytes=0 barrier (~0 ms recovered); DMA value = camera-frame payload bandwidth per-serve (orthogonal axis). socket fix send 105->6 ms (spike-proven) + 18 ms FPGA freeze floor => ~24 ms/grant. DEFERRED FPGA.
spike_barrier_oldsock,spike,barrier,PatternEnv-v0,bench:reqrsp,0.1,n/a,no,1000,rose_spike_sim (functional bridge),115.48,,8.66,1.0,measured-now,"send=105.1 rtt=10.3 ms (n=37 grants, 3 warmup skipped). Barrier round-trip = the socket-fix lever, isolated on the functional Spike bridge (no FPGA)."
spike_barrier_newsock,spike,barrier,PatternEnv-v0,bench:reqrsp,0.001,n/a,no,1000,rose_spike_sim (functional bridge),16.32,,61.26,7.07,measured-now,"send=6.1 rtt=10.2 ms (n=40 grants, 3 warmup skipped). Barrier round-trip = the socket-fix lever, isolated on the functional Spike bridge (no FPGA)."
isaac_render_every_step,isaac,barrier,WarehouseThrustEnv-v0,fused-nav (RVV),,0,yes,5000000,,,,32.3,1.0,measured-prior,env.step 31.0 ms/step (32.3 Hz). OLD: RTX render EVERY 200 Hz step (chase 960x540).
isaac_render_lazy_10hz,isaac,barrier,WarehouseThrustEnv-v0,fused-nav (RVV),,10,no,5000000,,,,123.5,3.83,measured-prior,"env.step 8.1 ms/step (123.5 Hz). NEW: render_interval=20 aligned to cam_front 10 Hz, chase off. Guest-equivalent frames."
isaac_physics_floor,isaac,barrier,WarehouseThrustEnv-v0,fused-nav (RVV),,n/a,no,5000000,,,,165.0,5.12,measured-prior,env.step 6.1 ms/step (165.0 Hz). reference: all cameras removed (physics only).
cosim_warehouse_all_old,cosim,barrier,WarehouseThrustEnv-v0,fused-nav (RVV),0.1,0,yes,5000000,MMIO-Saturn-60MHz,123.0,16.2,,1.0,measured-prior,BASELINE live co-sim: barrier 123 ms + render 31 ms. Anchored to measured 16.2 MHz. run-level wall=51.6 s (floor 13.8 + barrier 20.4 + render 17.5).
cosim_warehouse_socketfix,cosim,barrier,WarehouseThrustEnv-v0,fused-nav (RVV),0.001,0,yes,5000000,MMIO-Saturn-60MHz,24.0,23.5,,1.45,computed(FPGA-run-later),+socket fix only (barrier 123->24 ms). run-level wall=35.2 s (floor 13.8 + barrier 4.0 + render 17.5).
cosim_warehouse_lazyrender,cosim,barrier,WarehouseThrustEnv-v0,fused-nav (RVV),0.1,10,no,5000000,MMIO-Saturn-60MHz,123.0,21.4,,1.32,computed(FPGA-run-later),+lazy render only (env.step 31->8 ms). run-level wall=38.7 s (floor 13.8 + barrier 20.4 + render 4.6).
cosim_warehouse_all_new,cosim,barrier,WarehouseThrustEnv-v0,fused-nav (RVV),0.001,10,no,5000000,MMIO-Saturn-60MHz,84-107,50.0,,3.09,measured-now,"MEASURED FPGA capstone: 50.0 mean / 51.6 steady / 46.9 active, 3.09x, 2 runs. Wall ~16.6 s (< modeled 22.3 s) => ~86% of the 60 MHz ceiling; co-sim now FPGA-emulation-bound. Beat computed 37.1 MHz."
